stock,date,senti_raise,senti_drop,senti_inconclusive,year,month,day,open,high,low,close,adj_close,volume
AMZN,2023-08-04,2,0,7,2023,08,04,141.059998,143.630005,139.320007,139.570007,139.570007,152938700
AMZN,2023-06-28,0,0,7,2023,06,28,128.940002,131.479996,128.440002,129.039993,129.039993,52149500
AMZN,2023-05-01,0,2,2,2023,05,01,104.949997,105.230003,101.820000,102.050003,102.050003,74728100
AMZN,2023-08-02,0,0,2,2023,08,02,130.149994,130.229996,126.820000,128.210007,128.210007,51027600
AMZN,2024-01-28,1,0,2,2024,01,28,158.419998,160.720001,157.910004,159.119995,159.119995,51047400
AMZN,2023-11-18,0,0,3,2023,11,18,142.660004,145.229996,142.539993,145.179993,145.179993,49636700
AMZN,2023-05-29,0,0,3,2023,05,29,,,,,,
AMZN,2023-04-25,1,0,3,2023,04,25,104.910004,105.449997,102.449997,102.570000,102.570000,65026800
AMZN,2023-07-13,0,0,6,2023,07,13,134.039993,134.669998,132.710007,134.300003,134.300003,61170900
AMZN,2024-02-02,5,0,5,2024,02,02,169.190002,172.500000,167.330002,171.809998,171.809998,117154900
AMZN,2024-01-06,0,1,0,2024,01,06,144.690002,146.589996,144.529999,145.240005,145.240005,45124800
AMZN,2023-09-30,1,0,1,2023,09,30,128.199997,129.149994,126.320000,127.120003,127.120003,62377600
AMZN,2024-02-15,0,1,3,2024,02,15,170.580002,171.169998,167.589996,169.800003,169.800003,49855200
AMZN,2023-04-26,2,1,4,2023,04,26,105.040001,106.620003,104.099998,104.980003,104.980003,73803800
AMZN,2023-11-13,0,0,2,2023,11,13,142.080002,143.229996,140.669998,142.589996,142.589996,35680600
AMZN,2023-11-20,0,0,1,2023,11,20,145.130005,146.630005,144.729996,146.130005,146.130005,41951200
AMZN,2023-11-30,0,1,2,2023,11,30,144.759995,146.929993,144.330002,146.089996,146.089996,65814000
AMZN,2023-09-11,0,0,4,2023,09,11,138.750000,143.619995,138.639999,143.100006,143.100006,56764500
AMZN,2023-09-17,0,1,0,2023,09,17,142.690002,143.570007,140.089996,140.389999,140.389999,102861700
AMZN,2023-04-23,0,1,1,2023,04,23,106.099998,108.150002,105.080002,106.959999,106.959999,86774200
AMZN,2024-02-16,0,0,4,2024,02,16,168.740005,170.419998,167.169998,169.509995,169.509995,48074600
AMZN,2023-09-26,0,0,6,2023,09,26,130.119995,130.389999,125.279999,125.980003,125.980003,73048200
AMZN,2024-02-09,1,0,10,2024,02,09,170.899994,175.000000,170.580002,174.449997,174.449997,56986000
AMZN,2023-06-07,0,1,1,2023,06,07,127.010002,127.370003,120.629997,121.230003,121.230003,95663300
AMZN,2023-07-31,1,0,2,2023,07,31,133.199997,133.869995,132.380005,133.679993,133.679993,41901500
AMZN,2023-11-15,0,2,1,2023,11,15,147.059998,147.289993,142.589996,143.199997,143.199997,63875700
AMZN,2023-12-10,0,0,1,2023,12,10,145.479996,147.839996,145.399994,147.419998,147.419998,41858000
AMZN,2023-02-21,0,0,7,2023,02,21,,,,,,
AMZN,2023-08-31,1,0,2,2023,08,31,135.059998,138.789993,135.000000,138.009995,138.009995,58781300
AMZN,2024-02-05,2,0,2,2024,02,05,170.199997,170.550003,167.699997,170.309998,170.309998,55081300
AMZN,2024-01-14,0,0,3,2024,01,14,155.389999,156.199997,154.009995,154.619995,154.619995,40460300
AMZN,2023-04-18,0,1,3,2023,04,18,103.949997,104.199997,101.519997,102.300003,102.300003,39790500
AMZN,2023-08-24,0,0,3,2023,08,24,136.399994,136.779999,131.830002,131.839996,131.839996,43646300
AMZN,2023-07-20,0,0,2,2023,07,20,134.070007,134.789993,129.330002,129.960007,129.960007,59820600
AMZN,2023-03-09,0,2,2,2023,03,09,93.680000,96.209999,92.180000,92.250000,92.250000,56218700
AMZN,2023-11-28,1,1,8,2023,11,28,146.979996,147.600006,145.529999,147.029999,147.029999,42711700
AMZN,2023-04-02,1,0,2,2023,04,02,102.160004,103.489998,101.949997,103.290001,103.290001,56750300
AMZN,2024-01-10,0,2,5,2024,01,10,152.059998,154.419998,151.880005,153.729996,153.729996,44421800
AMZN,2023-10-24,0,0,1,2023,10,24,127.739998,128.800003,126.339996,128.559998,128.559998,46477400
AMZN,2023-12-14,0,0,8,2023,12,14,149.929993,150.539993,145.520004,147.419998,147.419998,58400800
AMZN,2023-10-19,0,0,1,2023,10,19,130.570007,132.240005,127.470001,128.399994,128.399994,60961400
AMZN,2023-12-18,0,0,3,2023,12,18,150.559998,154.850006,150.050003,154.070007,154.070007,62512800
AMZN,2024-02-14,0,1,2,2024,02,14,169.210007,171.210007,168.279999,170.979996,170.979996,42815500
AMZN,2023-07-05,0,0,2,2023,07,05,130.240005,131.399994,129.639999,130.380005,130.380005,35895400
AMZN,2023-04-24,0,0,3,2023,04,24,107.660004,109.230003,105.070000,106.209999,106.209999,69575600
AMZN,2023-11-10,0,1,1,2023,11,10,140.460007,143.649994,139.910004,143.559998,143.559998,49287800
AMZN,2024-01-31,0,0,4,2024,01,31,157.000000,159.009995,154.809998,155.199997,155.199997,50284400
AMZN,2023-06-17,1,1,2,2023,06,17,127.709999,127.900002,125.300003,125.489998,125.489998,84188100
AMZN,2024-01-18,0,1,4,2024,01,18,152.770004,153.779999,151.820007,153.500000,153.500000,37850200
AMZN,2023-03-14,0,1,6,2023,03,14,93.830002,95.070000,92.709999,94.879997,94.879997,60912700
AMZN,2023-06-22,0,1,2,2023,06,22,125.309998,130.330002,125.139999,130.149994,130.149994,90354600
AMZN,2023-10-25,0,0,1,2023,10,25,126.040001,126.339996,120.790001,121.389999,121.389999,74577500
AMZN,2023-12-07,0,0,3,2023,12,07,146.149994,147.919998,145.339996,146.880005,146.880005,52352800
AMZN,2023-06-11,0,0,4,2023,06,11,124.080002,125.800003,123.190002,123.430000,123.430000,51330000
AMZN,2023-04-14,0,0,1,2023,04,14,102.070000,103.199997,101.110001,102.510002,102.510002,51450500
AMZN,2023-03-23,1,0,2,2023,03,23,100.430000,101.059998,97.620003,98.709999,98.709999,57559300
